p_p64_p64,p_p37_p37_1,p_p37_p37_2,p_p37_p37_3,p_p37_p37_4,p_p37_p37_5,p_p37_p37_6,p_p37_p37_7,p_p37_p37_8,p_p37_p37_9,p_p37_p37_10,p_p37_p37_11,p_p37_p37_12,p_p37_p37_13,fexp
3,1,0,0,0,0,0,1,0,0,0,0,0,1,15.6259542
3,0,0,1,0,1,1,0,0,0,0,0,0,0,15.6259542
2,0,0,1,0,0,0,0,0,0,0,0,1,0,15.6259542
2,1,0,0,0,0,0,0,1,0,1,0,0,0,15.6259542
2,0,0,0,0,0,0,0,1,1,1,0,0,0,15.6259542
2,0,1,0,1,0,1,0,0,0,0,0,0,0,15.6259542
2,0,0,1,1,1,0,0,0,0,0,0,0,0,15.6259542
1,0,0,1,0,1,1,0,0,0,0,0,0,0,15.6259542
3,0,1,0,0,1,0,0,1,0,0,0,0,0,15.6259542
3,0,1,0,0,0,0,0,0,0,0,0,1,0,15.6259542
2,0,1,0,0,0,0,0,0,0,0,0,0,0,15.6259542
3,0,0,0,1,1,0,0,1,0,0,0,0,0,15.6259542
3,0,0,0,0,1,1,0,1,0,0,0,0,0,15.6259542
1,0,1,1,0,0,0,0,0,1,0,0,0,0,15.6259542
2,0,0,0,0,1,0,0,0,0,0,1,0,0,15.6259542
2,0,1,0,1,0,0,1,0,0,0,0,0,0,15.6259542
2,1,0,0,0,0,1,0,0,1,0,0,0,0,15.6259542
2,0,0,0,0,0,0,0,1,1,0,1,0,0,15.6259542
3,0,1,1,0,0,0,0,0,1,0,0,0,0,15.6259542
3,0,1,1,1,0,0,0,0,0,0,0,0,0,15.6259542
2,0,1,1,0,0,0,0,0,0,0,0,0,0,6.687943262
3,0,1,0,0,0,0,1,0,0,1,0,0,0,6.687943262
3,0,0,1,0,0,1,0,0,0,0,0,0,0,6.687943262
2,0,0,0,1,0,0,1,0,0,0,0,1,0,6.687943262
3,0,0,1,0,1,0,0,0,1,0,0,0,0,6.687943262
2,0,0,0,0,1,1,0,1,0,0,0,0,0,6.687943262
3,0,1,0,0,1,0,0,0,0,0,0,1,0,6.687943262
2,0,1,0,0,1,0,0,0,0,0,0,0,0,15.6259542
