P37.8,P56,P58,P60,P61,P1,P2,F.EXPANSIÓN,P59.1,P59.2,P59.3,P59.4,P59.5,P59.6,P59.7,P59.8,P59.9
1,3,2,0,0,2,37,35.528301886792455,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,32,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,3,1,54,37.8,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,54,23.20769230769231,0,0,0,0,0,0,0,0,0
0,3,1,1,3,1,19,65.81390134529148,1,0,0,0,0,0,0,0,0
0,2,1,1,3,3,42,65.81390134529148,1,1,1,0,1,1,0,1,0
1,2,2,0,1,1,55,37.8,0,0,0,0,0,0,0,0,0
0,1,2,0,0,2,45,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,72,35.528301886792455,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,59,37.8,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,52,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,1,1,4,1,56,26.2,0,0,0,0,0,0,1,0,0
1,2,2,0,0,1,78,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,4,1,36,26.2,0,0,0,0,0,0,0,0,0
0,1,2,0,0,1,25,35.528301886792455,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,61,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,61,26.2,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,74,25.90625,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,45,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,62,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,34,23.20769230769231,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,80,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,70,26.2,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,50,35.528301886792455,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,68,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,70,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,61,441.3291536050157,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,84,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,70,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,61,35.528301886792455,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,60,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,55,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,1,0,0,1,63,25.90625,1,0,0,0,0,0,0,0,0
0,3,2,0,0,2,36,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,80,35.528301886792455,1,1,0,0,0,0,0,0,0
1,2,1,0,0,1,68,65.81390134529148,1,0,0,0,0,0,0,1,0
1,2,1,1,1,1,51,26.690265486725664,1,0,0,0,0,0,0,0,0
0,2,2,0,0,1,65,26.690265486725664,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,72,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,48,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,64,23.20769230769231,0,0,0,0,0,0,0,0,0
1,3,1,1,3,2,52,25.81578947368421,1,0,0,0,0,0,0,0,0
1,1,2,0,0,1,56,23.20769230769231,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,79,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,58,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,80,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,62,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,85,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,1,1,27,26.2,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,46,26.690265486725664,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,65,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,40,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,70,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,80,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,53,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,1,1,3,1,52,25.90625,1,1,0,0,0,0,0,0,0
0,2,2,0,0,2,34,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,31,35.528301886792455,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,57,35.528301886792455,0,0,0,0,0,0,0,0,0
1,1,2,0,0,2,57,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,66,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,73,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,44,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,38,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,80,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,49,26.690265486725664,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,63,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,62,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,36,25.81578947368421,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,38,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,65,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,56,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,63,441.3291536050157,1,0,0,0,0,0,0,0,0
1,2,2,0,0,1,34,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,61,25.81578947368421,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,53,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,1,1,4,1,75,23.20769230769231,0,0,0,0,1,0,0,0,0
0,2,2,0,0,2,75,35.528301886792455,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,69,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,66,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,63,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,62,65.81390134529148,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,67,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,46,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,35,31.98051948051948,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,57,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,46,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,67,65.81390134529148,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,37,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,68,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,43,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,62,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,51,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,60,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,82,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,1,1,4,1,46,31.98051948051948,1,0,1,1,1,0,0,0,0
0,2,2,0,0,1,63,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,30,35.528301886792455,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,45,31.98051948051948,0,0,0,0,0,0,0,0,0
0,1,1,1,2,1,60,26.690265486725664,0,0,1,0,0,0,0,0,0
1,2,2,0,0,1,73,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,1,0,0,1,60,212.26854219948848,1,0,0,0,0,0,0,0,0
0,2,2,0,0,2,58,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,39,25.90625,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,75,26.690265486725664,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,46,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,1,1,3,1,38,26.690265486725664,1,0,0,0,0,0,0,0,0
0,2,2,0,0,1,38,23.20769230769231,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,60,25.90625,0,0,0,0,0,0,0,0,0
0,3,1,1,4,2,32,26.2,0,0,0,0,0,1,0,0,0
0,3,2,0,0,2,46,37.8,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,46,441.3291536050157,0,0,0,0,0,0,0,0,0
0,1,2,0,0,2,67,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,55,25.81578947368421,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,53,441.3291536050157,0,0,0,0,0,0,0,0,0
0,2,1,1,3,1,36,26.690265486725664,1,1,0,0,0,1,0,0,0
1,2,1,1,3,2,57,31.98051948051948,0,1,0,0,0,0,0,0,0
0,2,2,0,0,1,67,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,66,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,70,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,63,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,67,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,1,1,4,1,62,25.81578947368421,1,0,0,0,0,0,0,0,0
0,2,2,0,0,2,58,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,1,1,4,2,62,25.90625,0,1,0,0,0,0,0,0,0
1,2,2,0,0,1,50,26.2,0,0,0,0,0,0,0,0,0
0,1,2,0,0,1,85,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,60,65.81390134529148,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,65,65.81390134529148,0,0,0,0,0,0,0,0,0
0,1,2,0,0,1,69,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,67,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,48,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,40,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,1,1,1,1,58,37.8,1,1,0,0,0,0,0,0,0
0,2,2,0,0,2,58,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,59,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,1,1,4,1,58,25.90625,1,0,1,0,0,0,0,0,0
0,2,2,0,0,2,60,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,60,25.81578947368421,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,59,35.528301886792455,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,57,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,70,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,1,1,4,1,56,35.528301886792455,1,0,0,0,0,1,0,0,0
0,3,2,0,0,2,62,65.81390134529148,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,43,26.690265486725664,0,0,0,0,0,0,0,0,0
1,3,1,1,4,1,62,26.690265486725664,1,0,0,0,0,0,0,0,0
0,3,2,0,3,1,58,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,73,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,80,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,57,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,1,1,4,1,60,25.81578947368421,1,0,0,0,0,0,0,1,0
0,3,2,0,0,2,30,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,58,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,46,441.3291536050157,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,70,26.690265486725664,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,59,441.3291536050157,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,72,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,62,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,1,1,3,1,55,212.26854219948848,1,0,0,0,0,0,0,0,0
1,2,1,0,0,1,60,441.3291536050157,1,0,0,0,0,0,0,0,0
1,2,2,0,0,1,67,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,1,1,4,1,53,26.690265486725664,1,1,1,0,0,0,0,0,0
1,2,2,0,0,2,47,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,68,65.81390134529148,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,68,65.81390134529148,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,78,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,57,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,63,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,36,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,53,26.690265486725664,0,0,0,0,0,0,0,0,0
