P37_8,P56,P60,P1,P2,PONDERA,P59_1,P59_2,P59_3,P59_4,P59_5,P59_6,P59_7,P59_8,P59_9,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,2,0,1,52,184.06779661017,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,5.0,,,,,,,
0,2,0,2,30,192.265465869145,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,3.0,,,,,,
0,3,0,1,22,53.5027281037166,0,0,0,0,0,0,0,0,0,1.0,3.0,,,,,,,7.0,,,,,,,
0,1,1,2,33,90.4739583333333,1,1,1,0,0,0,0,0,0,5.0,3.0,2.0,1.0,,,,,2.0,5.0,6.0,1.0,,,,
0,3,0,1,65,252.000000000001,0,0,0,0,0,0,0,0,0,6.0,4.0,,,,,,,2.0,7.0,,,,,,
0,2,0,1,39,431.625000000001,0,0,0,0,0,0,0,0,0,4.0,2.0,1.0,7.0,6.0,3.0,5.0,,4.0,1.0,,,,,,
0,2,0,2,44,90.4739583333333,0,0,0,0,0,0,0,0,0,6.0,5.0,3.0,1.0,2.0,,,,5.0,4.0,6.0,3.0,2.0,1.0,7.0,
0,2,0,1,38,257.21052631579,0,0,0,0,0,0,0,0,0,6.0,1.0,,,,,,,2.0,1.0,,,,,,
0,3,0,1,58,353.395446217027,1,0,0,0,0,0,0,1,0,1.0,,,,,,,,2.0,1.0,,,,,,
0,2,0,2,30,353.395446217027,0,0,0,0,0,0,0,0,0,3.0,6.0,4.0,2.0,1.0,,,,1.0,8.0,4.0,7.0,,,,
0,2,1,2,55,257.21052631579,1,0,0,0,0,0,0,0,0,6.0,1.0,2.0,,,,,,7.0,4.0,8.0,1.0,5.0,3.0,2.0,6.0
0,2,0,1,67,323.675,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,7.0,3.0,1.0,6.0,5.0,4.0,2.0,
0,2,0,1,57,184.06779661017,0,0,0,0,0,0,0,0,0,6.0,7.0,4.0,,,,,,7.0,3.0,2.0,6.0,5.0,8.0,1.0,4.0
0,3,0,2,46,53.5027281037166,0,0,0,0,0,0,0,0,0,7.0,3.0,2.0,5.0,1.0,,,,4.0,5.0,1.0,,,,,
0,2,0,2,33,353.395446217027,0,0,0,0,0,0,0,0,0,6.0,1.0,2.0,,,,,,2.0,4.0,3.0,,,,,
0,2,0,1,47,174.687499999999,0,0,0,0,0,0,0,0,0,1.0,2.0,5.0,,,,,,5.0,,,,,,,
0,2,0,1,33,67.5442185508479,0,0,0,0,0,0,0,0,0,5.0,1.0,3.0,2.0,,,,,2.0,6.0,3.0,1.0,8.0,5.0,4.0,7.0
0,3,1,1,29,353.395446217027,1,0,0,0,0,0,0,0,0,2.0,,,,,,,,8.0,1.0,3.0,5.0,2.0,6.0,4.0,
0,1,0,1,58,323.675,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,6.0,,,,,,,
0,2,0,2,32,132.118144014007,0,0,0,0,0,0,0,0,0,3.0,1.0,5.0,2.0,7.0,,,,7.0,3.0,1.0,5.0,2.0,6.0,4.0,8.0
0,2,0,1,28,192.265465869145,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,3.0,,,,,,,
0,2,0,2,42,323.675,0,0,0,0,0,0,0,0,0,7.0,5.0,,,,,,,2.0,,,,,,,
0,3,0,1,60,323.675,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,6.0,5.0,7.0,3.0,2.0,4.0,
0,3,0,1,54,132.118144014007,0,0,0,0,0,0,0,0,0,5.0,7.0,1.0,2.0,,,,,1.0,2.0,8.0,5.0,,,,
0,3,0,1,28,323.675,0,0,0,0,0,0,0,0,0,6.0,2.0,1.0,3.0,5.0,,,,1.0,6.0,8.0,5.0,2.0,4.0,3.0,7.0
0,2,0,1,52,53.5027281037166,0,0,0,0,0,0,0,0,0,5.0,1.0,7.0,2.0,,,,,2.0,4.0,5.0,8.0,,,,
0,2,0,1,35,353.395446217027,0,0,0,0,0,0,0,0,0,1.0,2.0,5.0,6.0,7.0,,,,3.0,1.0,7.0,6.0,8.0,4.0,2.0,5.0
0,2,0,1,25,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,1.0,,,,,,,
0,2,0,2,44,252.000000000001,0,0,0,0,0,0,0,0,0,6.0,4.0,,,,,,,2.0,7.0,,,,,,
0,2,0,1,39,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,2.0,1.0,,,,,,3.0,,,,,,,
0,2,0,2,45,90.4739583333333,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,,,,,,,
0,2,1,2,67,174.687499999999,1,1,0,0,0,1,1,0,0,7.0,2.0,5.0,1.0,,,,,2.0,3.0,4.0,,,,,
0,3,0,1,24,323.675,0,0,0,0,0,0,0,0,0,2.0,4.0,1.0,6.0,,,,,2.0,4.0,,,,,,
0,2,0,1,52,323.675,0,0,0,0,0,0,0,0,0,7.0,1.0,6.0,2.0,3.0,4.0,,,6.0,3.0,1.0,8.0,2.0,5.0,4.0,
0,2,0,1,27,184.06779661017,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,5.0,,,,,,,
0,3,0,3,24,353.395446217027,0,0,0,0,0,0,0,0,0,5.0,6.0,,,,,,,7.0,,,,,,,
0,2,0,2,44,67.5442185508479,0,0,0,0,0,0,0,0,0,1.0,6.0,7.0,4.0,5.0,2.0,,,6.0,2.0,7.0,3.0,4.0,1.0,5.0,
0,3,0,1,44,257.21052631579,0,0,0,0,0,0,0,0,0,2.0,4.0,6.0,7.0,3.0,,,,8.0,7.0,4.0,5.0,,,,
0,3,0,1,20,174.687499999999,0,0,0,0,0,0,0,0,0,5.0,1.0,2.0,,,,,,4.0,6.0,3.0,2.0,,,,
0,1,0,2,37,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,5.0,,,,,,,2.0,,,,,,,
0,3,0,1,27,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,2.0,,,,,,,1.0,,,,,,,
0,2,0,1,53,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,8.0,,,,,,,
0,2,0,2,37,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,4.0,,,,,,,
0,3,1,1,59,132.118144014007,1,0,1,1,1,1,0,0,0,7.0,,,,,,,,2.0,,,,,,,
0,2,0,2,36,184.06779661017,0,0,0,0,0,0,0,0,0,2.0,5.0,,,,,,,1.0,2.0,,,,,,
0,2,0,1,76,353.395446217027,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,,,,,,,
0,1,0,2,54,174.687499999999,0,0,0,0,0,0,0,0,0,1.0,2.0,4.0,5.0,7.0,,,,4.0,7.0,,,,,,
0,2,0,2,70,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,2.0,,,,,,,6.0,1.0,3.0,,,,,
0,2,0,1,46,192.265465869145,1,0,0,0,0,0,0,0,0,3.0,2.0,5.0,6.0,,,,,1.0,4.0,,,,,,
0,2,0,2,34,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,3.0,,,,,,,4.0,1.0,8.0,3.0,7.0,,,
0,3,0,1,56,90.4739583333333,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,5.0,,,,,,,
0,2,0,1,35,353.395446217027,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,1.0,,,,,,,
0,2,0,2,22,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,1.0,,,,,,,
0,2,1,2,21,90.4739583333333,1,0,0,0,0,1,0,0,0,5.0,2.0,,,,,,,5.0,6.0,,,,,,
0,2,0,2,35,174.687499999999,0,0,0,0,0,0,0,0,0,2.0,4.0,1.0,7.0,3.0,,,,5.0,1.0,3.0,4.0,6.0,7.0,2.0,
0,2,0,2,28,257.21052631579,0,0,0,0,0,0,0,0,0,2.0,7.0,5.0,1.0,6.0,,,,1.0,2.0,,,,,,
0,2,0,1,42,353.395446217027,0,0,0,0,0,0,0,0,0,7.0,5.0,2.0,,,,,,7.0,1.0,5.0,,,,,
0,2,0,2,47,257.21052631579,0,0,0,0,0,0,0,0,0,7.0,5.0,,,,,,,6.0,,,,,,,
0,2,0,2,44,90.4739583333333,0,0,0,0,0,0,0,0,0,6.0,5.0,3.0,2.0,1.0,7.0,4.0,,2.0,1.0,6.0,4.0,3.0,8.0,,
0,2,0,2,25,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,1.0,,,,,,,3.0,1.0,,,,,,
0,2,0,1,44,353.395446217027,0,0,0,0,0,0,0,0,0,1.0,3.0,2.0,5.0,,,,,2.0,3.0,5.0,1.0,8.0,6.0,4.0,
