P37_8,P56,P56_1,P58,P62,P63,P64,F8,F3,F4,F5,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P60,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,FACTOR_REGION,FACTOR_TOTAL
0,3,3,0,1,40,4,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,281.8158236057069,272.0928725701944
0,2,4,0,1,44,6,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,281.8158236057069,272.0928725701944
0,2,5,1,1,42,3,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,101.24361493123772,103.51764705882353
0,1,4,0,1,60,4,3,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212.48695652173913,209.6189111747851
0,2,2,0,2,53,4,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,212.48695652173913,209.6189111747851
0,1,4,1,2,65,5,1,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.8158236057069,272.0928725701944
0,2,3,0,2,44,3,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,281.8158236057069,272.0928725701944
0,1,4,0,2,42,5,4,1,2,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,212.48695652173913,209.6189111747851
0,3,3,0,2,23,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,281.8158236057069,272.0928725701944
0,1,4,0,2,47,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,101.24361493123772,103.51764705882353
0,3,4,0,2,56,3,1,1,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,281.8158236057069,272.0928725701944
0,3,4,1,2,47,6,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,101.24361493123772,103.51764705882353
