P37_8,P56_1,P58,P62,P63,FACTOR_REGION,FACTOR_TOTAL,P60,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,3,0,1,40,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4,0,1,44,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,5,1,1,42,101.24361493123772,103.51764705882353,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,4,0,1,60,212.48695652173913,209.6189111747851,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,2,53,212.48695652173913,209.6189111747851,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,1,2,65,281.8158236057069,272.0928725701944,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,2,44,281.8158236057069,272.0928725701944,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
0,4,0,2,42,212.48695652173913,209.6189111747851,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1
0,3,0,2,23,281.8158236057069,272.0928725701944,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,4,0,2,47,101.24361493123772,103.51764705882353,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
0,4,0,2,56,281.8158236057069,272.0928725701944,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,4,1,2,47,101.24361493123772,103.51764705882353,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
0,3,0,2,37,194.4655172413793,170.04225352112675,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
0,4,0,2,34,212.48695652173913,209.6189111747851,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,2,25,212.48695652173913,209.6189111747851,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,64,101.24361493123772,103.51764705882353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,5,0,2,40,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,43,212.48695652173913,209.6189111747851,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,1,1,1,39,281.8158236057069,272.0928725701944,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,57,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,4,0,2,59,101.24361493123772,103.51764705882353,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,2,27,101.24361493123772,103.51764705882353,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,1,1,2,40,212.48695652173913,209.6189111747851,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,4,0,1,35,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,4,0,1,46,281.8158236057069,272.0928725701944,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,5,1,2,49,101.24361493123772,103.51764705882353,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,1,65,101.24361493123772,103.51764705882353,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
0,3,0,1,32,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,0,1,32,81.11764705882354,77.29824561403508,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,0,2,60,101.24361493123772,103.51764705882353,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,3,0,2,35,281.8158236057069,272.0928725701944,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,3,0,2,36,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,2,46,212.48695652173913,209.6189111747851,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,2,0,2,42,281.8158236057069,272.0928725701944,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,2,1,1,55,281.8158236057069,272.0928725701944,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
0,5,0,2,32,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,1,52,101.24361493123772,103.51764705882353,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1,5,0,2,37,212.48695652173913,209.6189111747851,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,5,0,2,25,88.25,80.52941176470588,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,3,0,2,53,212.48695652173913,209.6189111747851,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
0,3,0,1,37,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,4,0,2,41,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,5,0,1,53,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,1,29,212.48695652173913,209.6189111747851,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
1,5,0,1,26,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,3,0,2,30,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4,0,2,42,281.8158236057069,272.0928725701944,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,37,281.8158236057069,272.0928725701944,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
0,5,0,1,50,281.8158236057069,272.0928725701944,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,5,0,2,29,212.48695652173913,209.6189111747851,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,4,0,2,48,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,92,0,2,55,212.48695652173913,209.6189111747851,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
0,4,0,1,20,212.48695652173913,209.6189111747851,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
1,4,0,2,38,281.8158236057069,272.0928725701944,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,3,0,2,35,281.8158236057069,272.0928725701944,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
